participant_id,gender,4_language,french_level,french_years,french_listening_rating,device,mistake_score,mean_mistake,rt_ms
P_1777109938768,Male,English,0,0.0,1,Speakers,5,0.034722222222222224,901.0277777777778
P_1777112598665,Female,Slovak,0,0.0,1,Headphones,4,0.027777777777777776,1002.8472222222222
P_1777131147772,Female,English,1,1.0,2,Speakers,3,0.020833333333333332,670.6666666666666
P_1777138267672,Male,Turkish,0,0.0,1,Speakers,7,0.04861111111111111,765.0972222222222
P_1777811943826,Female,Italian,1,3.0,2,Headphones,0,0.0,464.9375
P_1777818502614,Female,German,1,5.0,3,Headphones,6,0.041666666666666664,782.0069444444445
P_1777821480999,Male,English,1,1.0,2,Headphones,4,0.027777777777777776,465.9583333333333
P_1777828509846,Female,Arabic,1,2.0,3,Speakers,10,0.06944444444444445,761.3541666666666
P_1777829481203,Female,Italian,0,0.0,1,Headphones,6,0.041666666666666664,1271.7708333333333
P_1777831674161,Female,Korean,0,0.0,1,Speakers,4,0.027777777777777776,1261.0833333333333
P_1777832348219,Male,Slovene,0,0.0,1,Headphones,5,0.034722222222222224,750.3611111111111
