participant_id,gender,4_language,french_level,french_years,french_listening_rating,device,mistake_score,mean_mistake,rt_ms
P_1777109938768,Male,English,None,0,1,Speakers,5,0.06944444444444445,1036.1805555555557
P_1777112598665,Female,Slovak,None,0,1,Headphones,4,0.05555555555555555,1022.25
P_1777131147772,Female,English,A1/A2,1,2,Speakers,2,0.027777777777777776,748.7638888888889
P_1777138267672,Male,Turkish,None,0,1,Speakers,4,0.05555555555555555,856.6805555555555
P_1777810079076,Female,Italian,C1/C2,4,5,Headphones,4,0.05555555555555555,1299.513888888889
P_1777811943826,Female,Italian,A1/A2,3,2,Headphones,0,0.0,489.81944444444446
P_1777818502614,Female,German,A1/A2,5,3,Headphones,4,0.05555555555555555,846.5
P_1777821480999,Male,English,A1/A2,1,2,Headphones,3,0.041666666666666664,488.93055555555554
P_1777828509846,Female,Arabic,A1/A2,2,3,Speakers,8,0.1111111111111111,733.8055555555555
P_1777829481203,Female,Italian,None,0,1,Headphones,3,0.041666666666666664,1077.611111111111
P_1777831674161,Female,Korean,None,0,1,Speakers,4,0.05555555555555555,1610.9305555555557
P_1777832348219,Male,Slovene,None,0,1,Headphones,4,0.05555555555555555,842.75
P_1777832887071,Non-binary,Dutch,B1/B2,3,3,Speakers,2,0.027777777777777776,1260.5277777777778
P_1777835211841,Mâle,Autre,C1/C2,20,7,Headphones,1,0.013888888888888888,1260.5833333333333
P_1777837300713,Male,Pulaar,C1/C2,20,7,Speakers,3,0.041666666666666664,1099.0694444444443
P_1777840317898,Female,Romanian,C1/C2,7,7,Speakers,4,0.05555555555555555,1130.986111111111
