participant_id,gender,4_language,french_level,french_years,french_listening_rating,device,mistake_score,mean_mistake,rt_ms
P_1777110628910,Male,French,Native,18,7,Headphones,2,0.027777777777777776,1206.6805555555557
P_1777112065838,Female,French,Native,25,7,Speakers,0,0.0,576.5138888888889
P_1777112413669,Mâle,Français,Native,,7,Headphones,9,0.125,1170.986111111111
P_1777114655189,Mâle,Français,Native,15,7,Headphones,1,0.013888888888888888,1281.5972222222222
P_1777145041687,Female,French,Native,,7,Headphones,4,0.05555555555555555,668.9583333333334
P_1777146721262,Male,French,Native,29,7,Headphones,3,0.041666666666666664,890.2222222222222
P_1777204271005,Female,French,Native,,7,Speakers,2,0.027777777777777776,493.15277777777777
P_1777279179013,Male,French,Native,20,7,Headphones,2,0.027777777777777776,492.94444444444446
P_1777402035832,Male,French,Native,24,7,Headphones,3,0.041666666666666664,476.47222222222223
P_1777813644955,Male,French,Native,22,7,Headphones,1,0.013888888888888888,945.9166666666666
P_1777818156374,Prefer not to say,French,C1/C2,24,7,Headphones,1,0.013888888888888888,1095.2222222222222
P_1777818239900,Female,French,Native,23,7,Headphones,7,0.09722222222222222,923.9722222222222
P_1777831330429,Female,French,Native,20,7,Headphones,2,0.027777777777777776,988.3333333333334
P_1777832195896,Prefer not to say,French,Native,18,6,Headphones,5,0.06944444444444445,1268.9305555555557
P_1777835056342,Female,French,Native,22,7,Speakers,0,0.0,599.375
P_1777835608015,Male,French,Native,22,7,Headphones,0,0.0,737.9305555555555
P_1777910539807,Male,French,Native,,7,Headphones,0,0.0,304.77777777777777
P_1777919289593,Male,French,Native,31,7,Headphones,2,0.027777777777777776,276.81944444444446
