participant_id,gender,4_language,french_level,french_years,french_listening_rating,device,mistake_score,mean_mistake,rt_ms
P_1777109938768,Male,English,None,0,1,Speakers,3,0.041666666666666664,948.5138888888889
P_1777112598665,Female,Slovak,None,0,1,Headphones,2,0.027777777777777776,986.8333333333334
P_1777131147772,Female,English,A1/A2,1,2,Speakers,1,0.013888888888888888,685.9861111111111
P_1777138267672,Male,Turkish,None,0,1,Speakers,4,0.05555555555555555,828.3888888888889
P_1777810079076,Female,Italian,C1/C2,4,5,Headphones,4,0.05555555555555555,1267.4305555555557
P_1777811943826,Female,Italian,A1/A2,3,2,Headphones,0,0.0,457.2638888888889
P_1777818502614,Female,German,A1/A2,5,3,Headphones,1,0.013888888888888888,708.0138888888889
P_1777821480999,Male,English,A1/A2,1,2,Headphones,2,0.027777777777777776,411.2638888888889
P_1777828509846,Female,Arabic,A1/A2,2,3,Speakers,7,0.09722222222222222,703.375
P_1777829481203,Female,Italian,None,0,1,Headphones,4,0.05555555555555555,1484.5833333333333
P_1777831674161,Female,Korean,None,0,1,Speakers,1,0.013888888888888888,998.4583333333334
P_1777832348219,Male,Slovene,None,0,1,Headphones,2,0.027777777777777776,756.3888888888889
P_1777832887071,Non-binary,Dutch,B1/B2,3,3,Speakers,3,0.041666666666666664,853.8888888888889
P_1777835211841,Mâle,Autre,C1/C2,20,7,Headphones,2,0.027777777777777776,1183.5694444444443
P_1777837300713,Male,Pulaar,C1/C2,20,7,Speakers,5,0.06944444444444445,1075.9444444444443
P_1777840317898,Female,Romanian,C1/C2,7,7,Speakers,2,0.027777777777777776,1036.5
