participant_id,gender,4_language,french_level,french_years,french_listening_rating,device,mistake_score,mean_mistake
P_1777109938768,Male,English,0,0.0,1,Speakers,5,0.034722222222222224
P_1777110628910,Male,French,4,18.0,7,Headphones,4,0.027777777777777776
P_1777112065838,Female,French,4,25.0,7,Speakers,1,0.006944444444444444
P_1777112413669,Mâle,Français,4,,7,Headphones,12,0.08333333333333333
P_1777112598665,Female,Slovak,0,0.0,1,Headphones,4,0.027777777777777776
P_1777114655189,Mâle,Français,4,15.0,7,Headphones,2,0.013888888888888888
P_1777131147772,Female,English,1,1.0,2,Speakers,3,0.020833333333333332
P_1777138267672,Male,Turkish,0,0.0,1,Speakers,7,0.04861111111111111
P_1777145041687,Female,French,4,,7,Headphones,6,0.041666666666666664
P_1777146721262,Male,French,4,29.0,7,Headphones,4,0.027777777777777776
P_1777204271005,Female,French,4,,7,Speakers,2,0.013888888888888888
P_1777279179013,Male,French,4,20.0,7,Headphones,3,0.020833333333333332
P_1777402035832,Male,French,4,24.0,7,Headphones,3,0.020833333333333332
P_1777810079076,Female,Italian,3,4.0,5,Headphones,4,0.027777777777777776
P_1777811943826,Female,Italian,1,3.0,2,Headphones,0,0.0
P_1777813644955,Male,French,4,22.0,7,Headphones,2,0.013888888888888888
P_1777818239900,Female,French,4,23.0,7,Headphones,12,0.08333333333333333
P_1777818502614,Female,German,1,5.0,3,Headphones,6,0.041666666666666664
P_1777821480999,Male,English,1,1.0,2,Headphones,4,0.027777777777777776
P_1777828509846,Female,Arabic,1,2.0,3,Speakers,10,0.06944444444444445
P_1777829481203,Female,Italian,0,0.0,1,Headphones,6,0.041666666666666664
P_1777831330429,Female,French,4,20.0,7,Headphones,8,0.05555555555555555
P_1777831674161,Female,Korean,0,0.0,1,Speakers,4,0.027777777777777776
P_1777832195896,Prefer not to say,French,4,18.0,6,Headphones,6,0.041666666666666664
P_1777832348219,Male,Slovene,0,0.0,1,Headphones,5,0.034722222222222224
P_1777832887071,Non-binary,Dutch,2,3.0,3,Speakers,4,0.027777777777777776
P_1777835056342,Female,French,4,22.0,7,Speakers,0,0.0
P_1777835211841,Mâle,Autre,3,20.0,7,Headphones,3,0.020833333333333332
P_1777835608015,Male,French,4,22.0,7,Headphones,2,0.013888888888888888
P_1777837300713,Male,Pulaar,3,20.0,7,Speakers,5,0.034722222222222224
P_1777840317898,Female,Romanian,3,7.0,7,Speakers,5,0.034722222222222224
P_1777910539807,Male,French,4,,7,Headphones,0,0.0
P_1777919289593,Male,French,4,31.0,7,Headphones,3,0.020833333333333332
